@class: format(){
   Output_every: 1
//@PHREEQCOutput: chemistry1.inp

Output_every: 1
 The column headers in this file can be edited and determine the output for the next run.
Var: 	 T                   	 Ca.tot                	 Si.tot                	 waterbalance            	 watervolume             	 pH                      	 Ca.bulksolution         	 Ca.bulksolid            	 Si.bulksolid            	 Si.bulksolution         	 Portlandite[s].tot      	 CSHQ_JenD.tot.con       	 CSHQ_JenH.tot.con       	 CSHQ_TobD.tot.con       	 CSHQ_TobH.tot.con       	 Ca.bulkss               	 Si.bulkss               	
Data:	 2.98150000e2            	 1.12345000              	 3.14558000e-1           	 50.0000000              	 2.27387396e-2           	 12.4800294              	 4.43236380e-4           	 1.12300676              	 3.14557291e-1           	 7.08956864e-7           	 6.11325771e-1           	 1.68589645e-1           	 1.12043852e-1           	 1.26846834e-1           	 5.54593813e-3           	 5.11680993e-1           	 3.14557291e-1           	

}

@format()

Output_every: 1
// The column headers in this file can be edited and determine the output for the next run.
Var: 	 T                       	 Ca.tot                  	 Si.tot                  	 waterbalance            	 watervolume             	 pH                      	 Ca.bulksolution         	 Ca.bulksolid            	 Si.bulksolid            	 Si.bulksolution         	 Portlandite[s].tot      	 CSHQ_JenD.tot.con       	 CSHQ_JenH.tot.con       	 CSHQ_TobD.tot.con       	 CSHQ_TobH.tot.con       	 Ca.bulkss               	 Si.bulkss               	
Data:	 2.98150000e2            	 1.25000000              	 3.23000000e-1           	 93.8000000              	 6.41109187e-2           	 12.4800294              	 1.24968630e-3           	 1.24875031              	 3.22998001e-1           	 1.99887402e-6           	 7.23339069e-1           	 1.73113515e-1           	 1.15050394e-1           	 1.30250594e-1           	 5.69475571e-3           	 5.25411245e-1           	 3.22998001e-1           	
Data:	 2.98150000e2            	 1.05000000              	 3.80000000e-1           	 1.38000000e2            	 1.10668722e-1           	 12.4800294              	 2.15721734e-3           	 1.04784278              	 3.79996550e-1           	 3.45047048e-6           	 4.29713693e-1           	 2.03662370e-1           	 1.35353014e-1           	 1.53235549e-1           	 6.69969323e-3           	 6.18129089e-1           	 3.79996550e-1           	
Data:	 2.98150000e2            	 5.89000000e-1           	 1.51000000e-1           	 1.44000000e2            	 1.30129632e-1           	 12.4800294              	 2.53656042e-3           	 5.86463440e-1           	 1.50995943e-1           	 4.05722997e-6           	 3.40842829e-1           	 8.09275547e-2           	 5.37840565e-2           	 6.08898851e-2           	 2.66219916e-3           	 2.45620611e-1           	 1.50995943e-1           	
Data:	 2.98150000e2            	 1.37000000              	 3.74000000e-1           	 64.3000000              	 3.12750541e-2           	 12.4800294              	 6.09631052e-4           	 1.36939037              	 3.73999025e-1           	 9.75105245e-7           	 7.61017275e-1           	 2.00447946e-1           	 1.33216723e-1           	 1.50817017e-1           	 6.59395128e-3           	 6.08373094e-1           	 3.73999025e-1           	
Data:	 2.98150000e2            	 8.77000000e-1           	 2.26000000e-1           	 93.8000000              	 7.30098761e-2           	 12.4800294              	 1.42314982e-3           	 8.75576850e-1           	 2.25997724e-1           	 2.27632901e-6           	 5.07953072e-1           	 1.21125395e-1           	 8.04993440e-2           	 9.11347364e-2           	 3.98455044e-3           	 3.67623778e-1           	 2.25997724e-1           	
Data:	 2.98150000e2            	 1.96000000              	 2.34000000e-1           	 1.00000000e2            	 5.95390626e-2           	 12.4800294              	 1.16056910e-3           	 1.95883943              	 2.33998144e-1           	 1.85633099e-6           	 1.57820161              	 1.25413287e-1           	 8.33490566e-2           	 9.43609466e-2           	 4.12560530e-3           	 3.80637823e-1           	 2.33998144e-1           	
Data:	 2.98150000e2            	 5.56000000e-1           	 1.61000000e-1           	 56.5000000              	 4.29177360e-2           	 12.4800294              	 8.36576795e-4           	 5.55163423e-1           	 1.60998662e-1           	 1.33810510e-6           	 2.93271687e-1           	 8.62885967e-2           	 5.73469788e-2           	 6.49235327e-2           	 2.83855642e-3           	 2.61891737e-1           	 1.60998662e-1           	
Data:	 2.98150000e2            	 1.40000000              	 1.91000000e-1           	 99.1000000              	 6.96876970e-2           	 12.4800294              	 1.35839202e-3           	 1.39864161              	 1.90997827e-1           	 2.17274888e-6           	 1.08795112              	 1.02366904e-1           	 6.80325427e-2           	 7.70208494e-2           	 3.36746965e-3           	 3.10690487e-1           	 1.90997827e-1           	
Data:	 2.98150000e2            	 9.32000000e-1           	 3.40000000e-1           	 75.3000000              	 5.09357555e-2           	 12.4800294              	 9.92868568e-4           	 9.31007131e-1           	 3.39998412e-1           	 1.58809389e-6           	 3.77941824e-1           	 1.82225029e-1           	 1.21105862e-1           	 1.37106096e-1           	 5.99448879e-3           	 5.53065308e-1           	 3.39998412e-1           	
Data:	 2.98150000e2            	 1.62000000              	 1.35000000e-1           	 89.4000000              	 5.72791917e-2           	 12.4800294              	 1.11651842e-3           	 1.61888348              	 1.34998214e-1           	 1.78587190e-6           	 1.39928590              	 7.23534365e-2           	 4.80857395e-2           	 5.44387193e-2           	 2.38014430e-3           	 2.19597581e-1           	 1.34998214e-1           	
Data:	 2.98150000e2            	 1.68000000              	 1.36000000e-1           	 79.0000000              	 4.57669379e-2           	 12.4800294              	 8.92115050e-4           	 1.67910788              	 1.35998573e-1           	 1.42693858e-6           	 1.45788305              	 7.28895873e-2           	 4.84420628e-2           	 5.48421192e-2           	 2.39778156e-3           	 2.21224835e-1           	 1.35998573e-1           	
Data:	 2.98150000e2            	 7.80000000e-1           	 1.84000000e-1           	 95.6000000              	 7.75034590e-2           	 12.4800294              	 1.51074128e-3           	 7.78489259e-1           	 1.83997584e-1           	 2.41643161e-6           	 4.79185860e-1           	 9.86150636e-2           	 6.55390883e-2           	 7.41979653e-2           	 3.24404884e-3           	 2.99303399e-1           	 1.83997584e-1           	
Data:	 2.98150000e2            	 7.27000000e-1           	 1.14000000e-1           	 1.31000000e2            	 1.15466442e-1           	 12.4800294              	 2.25073723e-3           	 7.24749263e-1           	 1.13996400e-1           	 3.60005560e-6           	 5.39314708e-1           	 6.10973363e-2           	 4.06049904e-2           	 4.59696305e-2           	 2.00986275e-3           	 1.85434554e-1           	 1.13996400e-1           	
Data:	 2.98150000e2            	 9.32000000e-1           	 2.24000000e-1           	 1.32000000e2            	 1.10300063e-1           	 12.4800294              	 2.15003124e-3           	 9.29849969e-1           	 2.23996561e-1           	 3.43897631e-6           	 5.65481423e-1           	 1.20052854e-1           	 7.97865391e-2           	 9.03277573e-2           	 3.94926808e-3           	 3.64368546e-1           	 2.23996561e-1           	
Data:	 2.98150000e2            	 1.95000000              	 3.38000000e-1           	 1.06000000e2            	 6.33828787e-2           	 12.4800294              	 1.23549494e-3           	 1.94876451              	 3.37998024e-1           	 1.97617492e-6           	 1.39895317              	 1.81152904e-1           	 1.20393333e-1           	 1.36299429e-1           	 5.95922009e-3           	 5.49811336e-1           	 3.37998024e-1           	
Data:	 2.98150000e2            	 1.94000000e-1           	 1.05000000e-1           	 72.9000000              	 6.71106248e-2           	 12.4800294              	 1.30815827e-3           	 1.92691842e-1           	 1.04997908e-1           	 2.09239997e-6           	 2.18948672e-2           	 5.62745181e-2           	 3.73997691e-2           	 4.23409425e-2           	 1.85121094e-3           	 1.70796975e-1           	 1.04997908e-1           	
Data:	 2.98150000e2            	 1.72000000              	 2.78000000e-1           	 1.11000000e2            	 7.38790143e-2           	 12.4800294              	 1.44009155e-3           	 1.71855991              	 2.77997697e-1           	 2.30342733e-6           	 1.26634932              	 1.48995221e-1           	 9.90214938e-2           	 1.12103991e-1           	 4.90135841e-3           	 4.52210588e-1           	 2.77997697e-1           	
Data:	 2.98150000e2            	 6.18000000e-1           	 3.13000000e-1           	 1.01000000e2            	 8.29201387e-2           	 12.4800294              	 1.61632626e-3           	 6.16383674e-1           	 3.12997415e-1           	 2.58531486e-6           	 1.07240085e-1           	 1.67753616e-1           	 1.11488232e-1           	 1.26217806e-1           	 5.51843605e-3           	 5.09143589e-1           	 3.12997415e-1           	
Data:	 2.98150000e2            	 1.69000000              	 2.74000000e-1           	 83.8000000              	 4.72840304e-2           	 12.4800294              	 9.21687076e-4           	 1.68907831              	 2.73998526e-1           	 1.47423905e-6           	 1.24337306              	 1.46851831e-1           	 9.75970077e-2           	 1.10491305e-1           	 4.83084930e-3           	 4.45705255e-1           	 2.73998526e-1           	
Data:	 2.98150000e2            	 1.59000000e-1           	 3.96000000e-1           	 90.8000000              	 8.70649923e-2           	 7.36925123              	 3.19858740e-4           	 1.58680141e-1           	 2.37958340e-1           	 1.58041660e-1           	 0.0                     	 7.85223565e-12          	 3.33885992e-7           	 8.50981486e-5           	 2.37901271e-1           	 1.58680141e-1           	 2.37958340e-1           	
Data:	 2.98150000e2            	 6.06000000e-1           	 1.95000000e-1           	 86.1000000              	 7.08793879e-2           	 12.4800294              	 1.38162114e-3           	 6.04618379e-1           	 1.94997790e-1           	 2.20990386e-6           	 2.87421271e-1           	 1.04510718e-1           	 6.94573110e-2           	 7.86338548e-2           	 3.43799273e-3           	 3.17197108e-1           	 1.94997790e-1           	
Data:	 2.98150000e2            	 1.21000000              	 1.88000000e-1           	 1.06000000e2            	 8.00820410e-2           	 12.4800294              	 1.56100446e-3           	 1.20843900              	 1.87997503e-1           	 2.49682760e-6           	 9.02629047e-1           	 1.00758854e-1           	 6.69638412e-2           	 7.58109534e-2           	 3.31457115e-3           	 3.05809949e-1           	 1.87997503e-1           	
Data:	 2.98150000e2            	 1.11000000              	 2.45000000e-1           	 56.7000000              	 3.12532799e-2           	 12.4800294              	 6.09206615e-4           	 1.10939079              	 2.44999026e-1           	 9.74426359e-7           	 7.10858163e-1           	 1.31309303e-1           	 8.72675198e-2           	 9.87971084e-2           	 4.31956110e-3           	 3.98532631e-1           	 2.44999026e-1           	
Data:	 2.98150000e2            	 1.09000000              	 1.35000000e-1           	 1.49000000e2            	 1.26475406e-1           	 12.4800294              	 2.46533017e-3           	 1.08753467              	 1.34996057e-1           	 3.94329714e-6           	 8.67940598e-1           	 7.23522802e-2           	 4.80849711e-2           	 5.44378494e-2           	 2.38010626e-3           	 2.19594072e-1           	 1.34996057e-1           	
Data:	 2.98150000e2            	 5.39000000e-1           	 2.13000000e-1           	 1.15000000e2            	 1.00606922e-1           	 12.4800294              	 1.96108705e-3           	 5.37038913e-1           	 2.12996863e-1           	 3.13675995e-6           	 1.90563248e-1           	 1.14157473e-1           	 7.58684976e-2           	 8.58920730e-2           	 3.75533316e-3           	 3.46475665e-1           	 2.12996863e-1           	
Data:	 2.98150000e2            	 1.39000000e-1           	 2.82000000e-1           	 50.5000000              	 4.61363591e-2           	 7.41225780              	 1.65104327e-4           	 1.38834896e-1           	 2.08194846e-1           	 7.38051537e-2           	 0.0                     	 8.36936009e-12          	 3.30555106e-7           	 8.01553722e-5           	 2.08141076e-1           	 1.38834896e-1           	 2.08194846e-1           	
Data:	 2.98150000e2            	 1.68000000              	 2.57000000e-1           	 1.35000000e2            	 9.90941184e-2           	 12.4800294              	 1.93159863e-3           	 1.67806840              	 2.56996910e-1           	 3.08959320e-6           	 1.26001917              	 1.37739671e-1           	 9.15411109e-2           	 1.03635317e-1           	 4.53109498e-3           	 4.18049233e-1           	 2.56996910e-1           	
