Output_every: 10
// The column headers in this file can be edited and determine the output for the next run.
Var: 	 time_years              	 integrity               	
Data:	 7.48287671e-1           	 1.00000000              	
Data:	 7.53995434e-1           	 1.00000000              	
Data:	 7.59703196e-1           	 1.00000000              	
Data:	 7.65410959e-1           	 1.00000000              	
Data:	 7.71118721e-1           	 1.00000000              	
Data:	 7.76826484e-1           	 1.00000000              	
Data:	 7.82534247e-1           	 1.00000000              	
Data:	 7.88242009e-1           	 1.00000000              	
Data:	 7.93949772e-1           	 1.00000000              	
Data:	 7.99657534e-1           	 1.00000000              	
Data:	 8.05365297e-1           	 1.00000000              	
Data:	 8.11073059e-1           	 1.00000000              	
Data:	 8.16780822e-1           	 1.00000000              	
Data:	 8.22488584e-1           	 1.00000000              	
Data:	 8.28196347e-1           	 1.00000000              	
Data:	 8.33904110e-1           	 1.00000000              	
Data:	 8.39611872e-1           	 1.00000000              	
Data:	 8.45319635e-1           	 1.00000000              	
Data:	 8.51027397e-1           	 1.00000000              	
Data:	 8.56735160e-1           	 1.00000000              	
Data:	 8.62442922e-1           	 1.00000000              	
Data:	 8.68150685e-1           	 1.00000000              	
Data:	 8.73858447e-1           	 1.00000000              	
Data:	 8.79566210e-1           	 1.00000000              	
Data:	 8.85273973e-1           	 1.00000000              	
Data:	 8.90981735e-1           	 1.00000000              	
Data:	 8.96689498e-1           	 1.00000000              	
Data:	 9.02397260e-1           	 1.00000000              	
Data:	 9.08105023e-1           	 1.00000000              	
Data:	 9.13812785e-1           	 1.00000000              	
Data:	 9.19520548e-1           	 1.00000000              	
Data:	 9.25228311e-1           	 1.00000000              	
Data:	 9.30936073e-1           	 1.00000000              	
Data:	 9.36643836e-1           	 1.00000000              	
Data:	 9.42351598e-1           	 1.00000000              	
Data:	 9.48059361e-1           	 1.00000000              	
Data:	 9.53767123e-1           	 1.00000000              	
Data:	 9.59474886e-1           	 1.00000000              	
Data:	 9.65182648e-1           	 1.00000000              	
Data:	 9.70890411e-1           	 1.00000000              	
Data:	 9.76598174e-1           	 1.00000000              	
Data:	 9.82305936e-1           	 1.00000000              	
Data:	 9.88013699e-1           	 1.00000000              	
Data:	 9.93721461e-1           	 1.00000000              	
Data:	 9.99429224e-1           	 1.00000000              	
Data:	 1.00513699              	 1.00000000              	
Data:	 1.01084475              	 1.00000000              	
Data:	 1.01655251              	 1.00000000              	
