Output_every: 10
// The column headers in this file can be edited and determine the output for the next run.
Var: 	 time_years              	 integrity               	
Data:	 7.53424658e-2           	 1.00000000              	
Data:	 7.59132420e-2           	 1.00000000              	
Data:	 7.64840183e-2           	 1.00000000              	
Data:	 7.70547945e-2           	 1.00000000              	
Data:	 7.76255708e-2           	 1.00000000              	
Data:	 7.81963470e-2           	 1.00000000              	
Data:	 7.87671233e-2           	 1.00000000              	
Data:	 7.93378995e-2           	 1.00000000              	
Data:	 7.99086758e-2           	 1.00000000              	
Data:	 8.04794521e-2           	 1.00000000              	
Data:	 8.10502283e-2           	 1.00000000              	
Data:	 8.16210046e-2           	 1.00000000              	
Data:	 8.21917808e-2           	 1.00000000              	
Data:	 8.27625571e-2           	 1.00000000              	
Data:	 8.33333333e-2           	 1.00000000              	
Data:	 8.39041096e-2           	 1.00000000              	
Data:	 8.44748858e-2           	 1.00000000              	
Data:	 8.50456621e-2           	 1.00000000              	
Data:	 8.56164384e-2           	 1.00000000              	
Data:	 8.61872146e-2           	 1.00000000              	
Data:	 8.67579909e-2           	 1.00000000              	
Data:	 8.73287671e-2           	 1.00000000              	
Data:	 8.78995434e-2           	 1.00000000              	
Data:	 8.84703196e-2           	 1.00000000              	
Data:	 8.90410959e-2           	 1.00000000              	
Data:	 8.96118721e-2           	 1.00000000              	
Data:	 9.01826484e-2           	 1.00000000              	
Data:	 9.07534247e-2           	 1.00000000              	
Data:	 9.13242009e-2           	 1.00000000              	
Data:	 9.18949772e-2           	 1.00000000              	
Data:	 9.24657534e-2           	 1.00000000              	
Data:	 9.30365297e-2           	 1.00000000              	
Data:	 9.36073059e-2           	 1.00000000              	
Data:	 9.41780822e-2           	 1.00000000              	
Data:	 9.47488584e-2           	 1.00000000              	
Data:	 9.53196347e-2           	 1.00000000              	
Data:	 9.58904110e-2           	 1.00000000              	
Data:	 9.64611872e-2           	 1.00000000              	
Data:	 9.70319635e-2           	 1.00000000              	
Data:	 9.76027397e-2           	 1.00000000              	
Data:	 9.81735160e-2           	 1.00000000              	
Data:	 9.87442922e-2           	 1.00000000              	
Data:	 9.93150685e-2           	 1.00000000              	
Data:	 9.98858447e-2           	 1.00000000              	
Data:	 1.00456621e-1           	 1.00000000              	
Data:	 1.01027397e-1           	 1.00000000              	
Data:	 1.01598174e-1           	 1.00000000              	
Data:	 1.02168950e-1           	 1.00000000              	
Data:	 1.02739726e-1           	 1.00000000              	
Data:	 1.03310502e-1           	 1.00000000              	
Data:	 1.03881279e-1           	 1.00000000              	
Data:	 1.04452055e-1           	 1.00000000              	
Data:	 1.05022831e-1           	 1.00000000              	
Data:	 1.05593607e-1           	 1.00000000              	
Data:	 1.06164384e-1           	 1.00000000              	
Data:	 1.06735160e-1           	 1.00000000              	
Data:	 1.07305936e-1           	 1.00000000              	
Data:	 1.07876712e-1           	 1.00000000              	
Data:	 1.08447489e-1           	 1.00000000              	
Data:	 1.09018265e-1           	 1.00000000              	
Data:	 1.09589041e-1           	 1.00000000              	
Data:	 1.10159817e-1           	 1.00000000              	
Data:	 1.10730594e-1           	 1.00000000              	
Data:	 1.11301370e-1           	 1.00000000              	
Data:	 1.11872146e-1           	 1.00000000              	
Data:	 1.12442922e-1           	 1.00000000              	
Data:	 1.13013699e-1           	 1.00000000              	
Data:	 1.13584475e-1           	 1.00000000              	
Data:	 1.14155251e-1           	 1.00000000              	
Data:	 1.14726027e-1           	 1.00000000              	
Data:	 1.15296804e-1           	 1.00000000              	
Data:	 1.15867580e-1           	 1.00000000              	
Data:	 1.16438356e-1           	 1.00000000              	
Data:	 1.17009132e-1           	 1.00000000              	
Data:	 1.17579909e-1           	 1.00000000              	
Data:	 1.18150685e-1           	 1.00000000              	
Data:	 1.18721461e-1           	 1.00000000              	
Data:	 1.19292237e-1           	 1.00000000              	
Data:	 1.19863014e-1           	 1.00000000              	
Data:	 1.20433790e-1           	 1.00000000              	
Data:	 1.21004566e-1           	 1.00000000              	
Data:	 1.21575342e-1           	 1.00000000              	
Data:	 1.22146119e-1           	 1.00000000              	
Data:	 1.22716895e-1           	 1.00000000              	
Data:	 1.23287671e-1           	 1.00000000              	
Data:	 1.23858447e-1           	 1.00000000              	
Data:	 1.24429224e-1           	 1.00000000              	
Data:	 1.25000000e-1           	 1.00000000              	
Data:	 1.25570776e-1           	 1.00000000              	
Data:	 1.26141553e-1           	 1.00000000              	
Data:	 1.26712329e-1           	 1.00000000              	
Data:	 1.27283105e-1           	 1.00000000              	
Data:	 1.27853881e-1           	 1.00000000              	
Data:	 1.28424658e-1           	 1.00000000              	
Data:	 1.28995434e-1           	 1.00000000              	
Data:	 1.29566210e-1           	 1.00000000              	
Data:	 1.30136986e-1           	 1.00000000              	
Data:	 1.30707763e-1           	 1.00000000              	
Data:	 1.31278539e-1           	 1.00000000              	
Data:	 1.31849315e-1           	 1.00000000              	
Data:	 1.32420091e-1           	 1.00000000              	
Data:	 1.32990868e-1           	 1.00000000              	
Data:	 1.33561644e-1           	 1.00000000              	
Data:	 1.34132420e-1           	 1.00000000              	
Data:	 1.34703196e-1           	 1.00000000              	
Data:	 1.35273973e-1           	 1.00000000              	
Data:	 1.35844749e-1           	 1.00000000              	
Data:	 1.36415525e-1           	 1.00000000              	
Data:	 1.36986301e-1           	 1.00000000              	
Data:	 1.37557078e-1           	 1.00000000              	
Data:	 1.38127854e-1           	 1.00000000              	
Data:	 1.38698630e-1           	 1.00000000              	
Data:	 1.39269406e-1           	 1.00000000              	
Data:	 1.39840183e-1           	 1.00000000              	
Data:	 1.40410959e-1           	 1.00000000              	
Data:	 1.40981735e-1           	 1.00000000              	
Data:	 1.41552511e-1           	 1.00000000              	
Data:	 1.42123288e-1           	 1.00000000              	
Data:	 1.42694064e-1           	 1.00000000              	
Data:	 1.43264840e-1           	 1.00000000              	
Data:	 1.43835616e-1           	 1.00000000              	
Data:	 1.44406393e-1           	 1.00000000              	
Data:	 1.44977169e-1           	 1.00000000              	
Data:	 1.45547945e-1           	 1.00000000              	
Data:	 1.46118721e-1           	 1.00000000              	
Data:	 1.46689498e-1           	 1.00000000              	
Data:	 1.47260274e-1           	 1.00000000              	
Data:	 1.47831050e-1           	 1.00000000              	
Data:	 1.48401826e-1           	 1.00000000              	
Data:	 1.48972603e-1           	 1.00000000              	
Data:	 1.49543379e-1           	 1.00000000              	
Data:	 1.50114155e-1           	 1.00000000              	
Data:	 1.50684932e-1           	 1.00000000              	
Data:	 1.51255708e-1           	 1.00000000              	
Data:	 1.51826484e-1           	 1.00000000              	
Data:	 1.52397260e-1           	 1.00000000              	
Data:	 1.52968037e-1           	 1.00000000              	
Data:	 1.53538813e-1           	 1.00000000              	
Data:	 1.54109589e-1           	 1.00000000              	
Data:	 1.54680365e-1           	 1.00000000              	
Data:	 1.55251142e-1           	 1.00000000              	
Data:	 1.55821918e-1           	 1.00000000              	
Data:	 1.56392694e-1           	 1.00000000              	
Data:	 1.56963470e-1           	 1.00000000              	
Data:	 1.57534247e-1           	 1.00000000              	
Data:	 1.58105023e-1           	 1.00000000              	
Data:	 1.58675799e-1           	 1.00000000              	
Data:	 1.59246575e-1           	 1.00000000              	
Data:	 1.59817352e-1           	 1.00000000              	
Data:	 1.60388128e-1           	 1.00000000              	
Data:	 1.60958904e-1           	 1.00000000              	
Data:	 1.61529680e-1           	 1.00000000              	
Data:	 1.62100457e-1           	 1.00000000              	
Data:	 1.62671233e-1           	 1.00000000              	
Data:	 1.63242009e-1           	 1.00000000              	
Data:	 1.63812785e-1           	 1.00000000              	
Data:	 1.64383562e-1           	 1.00000000              	
Data:	 1.64954338e-1           	 1.00000000              	
Data:	 1.65525114e-1           	 1.00000000              	
Data:	 1.66095890e-1           	 1.00000000              	
Data:	 1.66666667e-1           	 1.00000000              	
Data:	 1.67237443e-1           	 1.00000000              	
Data:	 1.67808219e-1           	 1.00000000              	
Data:	 1.68378995e-1           	 1.00000000              	
Data:	 1.68949772e-1           	 1.00000000              	
Data:	 1.69520548e-1           	 1.00000000              	
Data:	 1.70091324e-1           	 1.00000000              	
Data:	 1.70662100e-1           	 1.00000000              	
Data:	 1.71232877e-1           	 1.00000000              	
Data:	 1.71803653e-1           	 1.00000000              	
Data:	 1.72374429e-1           	 1.00000000              	
Data:	 1.72945205e-1           	 1.00000000              	
Data:	 1.73515982e-1           	 1.00000000              	
Data:	 1.74086758e-1           	 1.00000000              	
Data:	 1.74657534e-1           	 1.00000000              	
Data:	 1.75228311e-1           	 1.00000000              	
Data:	 1.75799087e-1           	 1.00000000              	
Data:	 1.76369863e-1           	 1.00000000              	
Data:	 1.76940639e-1           	 1.00000000              	
